A,B,C,D,E,F
1.1590909091,0.6968905949,0.7531194296,0.9382442461,0.9396719488,5.4292561011
0.9021275777,0.6899287773,0.7354024402,0.9320047377,0.9209774675,5.700192711
1.35,0.6378668256,0.7113425926,0.9345385329,0.8850806452,5.0196841517
1.0888888889,0.6826252056,0.7498866213,0.9210478727,0.9410927718,6.1991053244
0.8645204551,0.6628657235,0.7272598131,0.9305297836,0.9201773836,5.1417133693
0.9574105912,0.5873661049,0.6537503347,0.9126855859,0.875798212,4.4563326943
1.7863413227,0.5255229601,0.6744325421,0.9108906465,0.8513618677,4.3064642456
1.4571428571,0.6134970179,0.7215686275,0.9207404754,0.8873579056,5.0305370331
1.0343601828,0.6146885043,0.6667779613,0.9157163938,0.8916859887,4.5747120654
1.023255814,0.6754264473,0.6942389006,0.9353747238,0.9289250354,5.4360933247
0.8109243261,0.6605744762,0.7255523578,0.9305523617,0.9084617804,5.4449709339
1.4594594595,0.5977795665,0.6974474474,0.9299772241,0.8786254729,4.4257147535
1.2820512821,0.6843094549,0.7487179487,0.9351836838,0.920554855,5.2020451872
0.9038461538,0.6888565665,0.7105155483,0.9394130019,0.9389024061,5.2234209788
1.0416666667,0.6757551224,0.6958333333,0.9297685512,0.9355742297,5.3954662047
1.0283688078,0.5857216743,0.6598088836,0.8990749598,0.8840531561,4.6978195586
1.0454545455,0.597070735,0.6662549407,0.9058984987,0.8895118734,4.9041835822
0.9112097406,0.6989729252,0.7376767574,0.9401367515,0.9307095344,5.1879873657
1.4571428571,0.5963708818,0.7179271709,0.9091703805,0.8871581862,5.0626772399
0.972043006,0.6032623536,0.6638666734,0.9204361711,0.8833120205,4.5502882956
1.5135135135,0.5830334307,0.6961872587,0.9274165666,0.8679302046,4.7532737039
0.9624765502,0.6861161706,0.7444602384,0.9296350818,0.9277175424,5.6729266527
0.9582754375,0.6664327604,0.7534232841,0.9127277587,0.9370212766,6.2066812062
1.085106383,0.6604540008,0.7029620359,0.9213155792,0.9324847814,5.3324479754
1.1590909091,0.690589955,0.7413101604,0.937908168,0.932455157,5.6062050919
1.1395348837,0.6548562254,0.6950640721,0.9200475077,0.9328025478,5.7571616987
1.4444444444,0.5902361649,0.7150106838,0.9021621999,0.8908485857,5.6197338861
1.0454545455,0.6110501767,0.6704545455,0.9139819667,0.8886705959,5.0979798821
1.1590909091,0.6824152143,0.7395276292,0.9296213381,0.9344031532,5.6584537507
0.9336734622,0.6930808162,0.747639703,0.9337047413,0.9376579612,5.6943634945
1.8709677419,0.5230880354,0.6754727475,0.9109124974,0.8558844257,4.5659485338
0.9090909022,0.6676268667,0.7366590343,0.9242320656,0.9275242047,5.8121662064
1.9359146715,0.5294622208,0.6682093377,0.9312321347,0.8399443285,3.863473435
0.9315726071,0.6926656772,0.7485441904,0.9341882279,0.9336877448,5.733042159
1.0318075982,0.5915081246,0.6596738658,0.9047786482,0.8825870647,4.5628149201
0.8571428571,0.5734987346,0.6596209913,0.9044238956,0.8775048481,4.8028709034
1.1136363636,0.6621933956,0.6985157699,0.926137213,0.9287696577,5.5811878661
0.9563000667,0.5851095353,0.6556236652,0.910463745,0.8745283019,4.6508618231
1.035312888,0.5735088676,0.6561710194,0.894232541,0.8778877888,4.7460961402
1.4444444444,0.6262137816,0.703525641,0.9231850257,0.8953093134,5.0369702306
1.4166666667,0.6169497564,0.7096949891,0.9187842787,0.8848896435,5.0855025508
1.5142857143,0.5990368486,0.709703504,0.9339992953,0.8794255177,4.1993780192
1.0212765957,0.6590935179,0.7076684397,0.9211592978,0.9314469078,5.7420611017
1.325,0.6459004227,0.7150943396,0.9328491605,0.8936044798,4.875169032
1.1509591108,0.6327454006,0.6976223711,0.91971481,0.9023255814,5.1274024425
0.9118683882,0.6714858874,0.7335895964,0.9280911536,0.9265113699,5.4726738082
1.1707317073,0.6708365275,0.7294207317,0.9202333173,0.9204873357,5.3203525617
1.0212931879,0.6006128719,0.6550944247,0.9095573492,0.8840013034,5.0495396087
0.9140164004,0.6949892782,0.7339971176,0.9352374382,0.932606264,5.906066151
0.9238095299,0.5766937203,0.6566559012,0.9039394309,0.8768394114,4.5571840631
1.4210526316,0.6009191214,0.7054093567,0.9242809785,0.8831604637,4.6238840384
0.9215686275,0.6614821331,0.717146433,0.9213069652,0.936529556,5.7962238832
0.9315726071,0.6892887428,0.7469739748,0.9325288768,0.9325119014,5.8678318625
1.085106383,0.6630058352,0.7083854819,0.9249662808,0.9304109589,5.5402925273
1.1666666667,0.6721002674,0.7159863946,0.9280531944,0.9367450731,5.6604478993
0.9590163313,0.5710657261,0.6545606192,0.8983505578,0.8732125834,4.8519920039
0.9038461538,0.687666488,0.7092880524,0.9390743176,0.9398210897,5.2396235811
1.5142857143,0.6128886834,0.7129380054,0.9388861247,0.879906853,4.4440527795
0.7959183673,0.6559574714,0.7600732601,0.9219493883,0.9184318685,4.6630832247
0.9101995395,0.671083915,0.7326896978,0.9248796343,0.9264705882,5.5960863454
1.8387096774,0.5443317561,0.668647425,0.9191571668,0.8552298227,4.4956299985
1.6764705882,0.5470997433,0.6754385965,0.9110623724,0.8502760637,4.8333612225
1.4444444444,0.6243152041,0.7115384615,0.9174371342,0.9,5.0602073285
0.911377124,0.6861311681,0.7420742503,0.933134208,0.9302059497,5.5985651686
0.9582754375,0.6944571741,0.7550200031,0.9342411776,0.9368808378,5.834844733
1.1538461968,0.6456521363,0.7034923128,0.9233103671,0.9094540613,4.8272290737
0.8163265306,0.6486209177,0.7431122449,0.9166801325,0.9137390213,5.2709916782
0.9361702128,0.6709412855,0.6992263056,0.9322642468,0.938961039,5.4430807816
1.9017595229,0.5220424615,0.6834039592,0.9196159843,0.848560256,4.1466869045
0.9132530774,0.695863479,0.7366624747,0.930706906,0.9259501966,5.4175583681
0.7508305886,0.6387603734,0.7004765601,0.9247764422,0.9003424658,5.0536972869
1.1395348837,0.6904054735,0.7555766493,0.9318902896,0.9372976155,5.749904055
1.3076923077,0.6398067436,0.7345399698,0.9219541117,0.9057656541,5.0963968179
1.2153465088,0.6443993573,0.7113035286,0.9181570974,0.9160655738,5.0445999082
0.7451382398,0.6038405953,0.6993438546,0.916384979,0.8750714694,4.9443987361
1.0212765957,0.6678982474,0.7103280142,0.9219036045,0.9368605671,5.2893216816
0.8988235925,0.6753881497,0.7433091409,0.9271264214,0.9275564224,5.4144949594
0.9347826087,0.6275614841,0.6898382204,0.9115742216,0.9021487603,5.2732240881
1.0387897392,0.6072585202,0.6660744034,0.9111918464,0.89332893,4.9200867695
1.5142857143,0.6040153708,0.709703504,0.9286995661,0.8779593198,5.0268741012
0.9926830018,0.6010556368,0.6670760502,0.9120162085,0.8875449493,4.9801780668
1.4736842105,0.5554915271,0.6703477444,0.9093247926,0.8564995497,4.5573193642
1.2093023256,0.6703078124,0.7338998211,0.9316035501,0.9258110014,5.5501771588
1.7741935484,0.5487680481,0.6797653959,0.9260429795,0.8528329654,4.3805885631
1.1276595745,0.6762815686,0.6953030911,0.9348705115,0.9299328859,5.6206161902
1.0342790407,0.5875831956,0.6626950394,0.90183169,0.8842105263,4.9589495674
1.2282878554,0.6623901753,0.71464772,0.9311549175,0.918646274,4.8789344647
1.7737407565,0.5287247859,0.6745645651,0.9111062227,0.8453528731,4.3887304769
1.0307329182,0.5955093086,0.6627484897,0.9046614063,0.8894422311,4.6580541944
1.4444444444,0.6044744082,0.7150106838,0.904450654,0.8965170797,5.280576991
1.5142857143,0.5957422335,0.7070080863,0.9225057099,0.8763782158,4.7715743996
0.8775510204,0.6930542472,0.7190317988,0.943359508,0.9401179026,5.4826971693
1.869236086,0.5091442537,0.6658561738,0.9119798079,0.8360836084,4.368676369
1.35,0.6120394567,0.6956018519,0.9176487818,0.8843437316,5.0907421172
0.9593067365,0.5832601031,0.652512162,0.9084103462,0.8786346397,4.6228424865
1.5862068966,0.5811752883,0.6836581709,0.9300819819,0.8535329902,4.27466263
0.9977323841,0.5776527879,0.6491992127,0.904775359,0.8762297683,4.6199117136
1.0366430649,0.5823156875,0.6616757414,0.8970536673,0.8848684211,5.0842929226
1.1627906977,0.6624736691,0.696744186,0.9288078847,0.9284164859,5.4982573425
1.0360360508,0.5995104884,0.666855218,0.9052012114,0.8921601059,4.8386724166
0.7593985078,0.6516329495,0.7062003765,0.9296307651,0.9049259387,4.7982194301
